uid,fullname,category,status,firstreading,phone,address,date_created,date_updated
1G6DU6EA7A0909190,Pauly Switland,false,true,9101.8,579-200-8979,206 Farragut Hill,2023-05-07,2023-08-02
1G6KD54Y01U158832,Cully Roston,true,true,1811,687-388-9726,48 Portage Street,2022-12-27,2023-06-20
1GYS3HKJXFR749066,Malva Douch,true,true,7479.2,234-564-1751,432 Westerfield Park,2023-10-07,2022-12-27
1GYS4UKJ5FR204673,Winnie Episcopio,true,false,5971.5,652-777-5530,8578 Union Street,2023-07-16,2023-10-11
1LNHL9DR0BG709637,Edouard Bayliss,false,true,9309.8,259-219-4888,09149 Swallow Center,2023-07-05,2023-03-10
1N6AA0EC2FN095139,Sioux Fellibrand,true,true,7308.9,808-142-6587,54403 Burrows Lane,2023-10-07,2023-08-15
1NXBE4EE0AZ827444,Ambur Saur,false,false,2970.4,155-147-9927,8 Ridgeview Junction,2023-07-17,2023-07-31
1YVHZ8BH1B5551290,Ciel Duckinfield,true,false,9351.4,228-930-2319,533 Park Meadow Junction,2023-09-01,2022-12-22
2G4WD582961946298,Concordia Edlyne,true,true,5958.6,624-152-8000,0 Mitchell Hill,2023-06-13,2023-04-25
2G4WE587771346969,Ivy Witherdon,false,true,5544.9,963-821-3346,695 Shelley Street,2023-03-06,2023-07-21
2HNYD28688H455045,Egan Greenstead,true,true,7419.7,392-102-4320,22132 Bowman Park,2023-07-25,2023-01-31
2T1BURHE7FC721044,Moritz Mountney,true,false,8615.6,523-925-8505,1 Springview Park,2022-12-14,2023-02-10
3C63DRGL4CG140064,Cleo Antecki,false,false,1485.9,969-238-4154,1247 Crownhardt Road,2023-09-30,2023-02-17
3C6JD6EP1CG131415,Kippy Seiffert,true,false,6660.8,213-517-9894,4001 Caliangt Alley,2023-07-04,2023-02-08
3C6JR6CT8DG608215,Carson Gerran,false,true,6508.9,692-166-4574,716 Claremont Street,2023-03-09,2023-03-10
3D7JB1EP4AG547396,Adah Croydon,true,false,1676.5,824-151-9403,899 Shelley Avenue,2023-06-02,2023-01-19
3GYFK66N33G862178,Halette Jedrysik,true,true,7522,488-762-8384,256 Hanson Center,2023-04-28,2023-06-07
3GYFNFE38ES115604,Matthaeus Farron,false,false,7903.6,478-571-9488,74415 Carpenter Court,2023-09-03,2022-12-23
3GYT4NEF5CG176516,Celka Clemits,false,false,7469.7,576-594-6699,406 Monterey Road,2023-02-10,2023-04-16
3N1AB7AP0FL342064,Janelle Lassetter,true,true,8567.2,888-404-5220,5 Lawn Alley,2023-10-11,2023-04-14
3N1BC1AP7AL785321,Elston Mangion,true,false,3639.5,871-378-1132,669 Eastlawn Drive,2023-03-22,2023-07-11
3N1CE2CP0FL750127,Ashil Pieter,false,true,3111,434-487-5666,0270 Stoughton Trail,2022-12-12,2023-10-02
3N1CN7AP0EL211876,Liuka Brahmer,true,false,4096.2,503-588-7876,8147 Karstens Junction,2023-09-11,2023-04-01
4JGBB9FB4AA505935,Kevina Wahlberg,true,false,4618.4,362-256-4521,7 Union Hill,2023-10-24,2023-04-11
4T1BD1EB9EU213246,Aubry McShee,false,true,5311.5,540-286-5848,7008 Scott Center,2023-06-28,2023-06-17
4T1BD1FK9FU340529,Renelle Lush,true,true,8626.3,467-842-0245,91 Fisk Center,2023-09-20,2023-03-04
5GAKVBKD7FJ289310,Porty Mattisson,true,true,1770.6,525-240-7075,3 Forest Run Street,2023-03-16,2023-08-09
5LMJJ2J58EE745945,Jennifer Storks,false,false,5194.8,618-599-3788,9939 Corben Point,2023-01-17,2023-02-05
5N1AA0NCXAN541769,Lorenza Spinke,true,true,2780.8,656-445-9382,719 Raven Parkway,2023-06-20,2023-01-22
5N1AR2MM0FC290147,Celestia Johncey,true,false,9064.4,317-622-2219,36668 Carpenter Terrace,2023-07-04,2023-06-29
5N1AZ2MG0FN251038,Matilda Wyley,true,false,6630.3,171-785-8825,6 Arizona Street,2023-06-09,2023-01-27
5NPEB4AC8BH831736,Germain Gee,true,false,5965.5,889-145-8485,84620 Valley Edge Pass,2023-07-19,2022-12-22
5UXFB53516L118265,Robinson Eaken,true,false,5432.5,983-697-5397,9 Mayer Crossing,2023-11-04,2023-10-03
5UXWX5C52BL162397,Dion Bracegirdle,false,true,1966.3,416-395-4979,1 Fisk Park,2022-12-12,2023-09-13
5XYKT3A11BG697071,Alic Zelland,false,true,3325.9,127-409-3352,79 Mifflin Park,2023-03-05,2023-05-08
5XYKT3A14DG220489,Reggie Barendtsen,true,false,9038.4,671-792-8406,71378 Linden Hill,2023-01-18,2023-03-24
5XYKT3A61FG281183,Pearline Petrowsky,true,false,5729.8,834-395-4694,573 Warbler Center,2023-08-06,2023-10-04
JA32U1FU6AU969954,Jewel Trundler,true,false,4685.1,394-731-3798,1318 Welch Terrace,2022-12-05,2023-04-18
JH4CU2F43EC280718,Quinta Coller,false,false,9588.9,660-424-9068,15 Twin Pines Lane,2023-02-05,2023-10-07
JH4CU2F47CC548151,Grazia Doherty,false,true,1367.1,293-761-6839,0220 Shasta Trail,2023-06-11,2023-07-31
JH4DC54823C137416,Kelvin Sandbach,true,true,7303.1,788-284-7869,67 Elka Park,2023-07-23,2023-09-26
JH4NA12684T808965,Janeen Assender,false,true,7576.8,538-101-9499,0 Warner Trail,2023-01-01,2023-09-25
JH4NA126X1T823673,Akim Elnough,false,false,4107.2,821-876-9598,80 International Junction,2023-10-10,2023-07-30
JM1NC2EF8A0758739,Selle Rumens,true,false,8867.3,929-919-0640,63202 Schurz Road,2023-06-09,2023-10-12
JM3KE2BE1E0587192,Hatty Volcker,false,false,7983.1,229-228-0087,42 Ramsey Avenue,2023-03-04,2023-02-16
JM3TB2BA7D0018677,Madison Wakeling,true,true,7509.2,243-915-6993,728 Hermina Avenue,2023-03-11,2023-10-26
JN8AE2KP3F9275785,Ertha Polino,true,true,8708.5,975-581-5716,6 Bayside Avenue,2023-07-24,2022-11-24
JN8AZ2KR2ET462006,Johnathon Van der Hoeven,false,true,8886.9,845-666-7462,907 Dayton Terrace,2023-08-09,2022-12-29
JTEBU5JR3E5191328,Simonette Franzonetti,false,false,4127.6,996-231-9547,535 Vernon Place,2022-11-20,2023-08-11
JTHBW1GG6E2344894,Trenton Carnie,true,true,6096.8,534-560-1071,810 Autumn Leaf Way,2023-05-29,2022-12-19
JTHKD5BH3C2553004,Kathryn Wharf,true,true,8607.9,615-440-3746,4614 Butternut Crossing,2023-10-05,2023-08-14
KMHGC4DD4CU684277,Bartram Cadge,true,true,7344.5,967-992-6670,17 Straubel Terrace,2023-07-07,2023-03-03
SAJWA1CB1BL074881,Kenton Fromont,true,false,8216.9,127-562-9908,43 Clove Lane,2023-02-01,2023-01-27
SAJWJ2GD4F8692092,Berke Wenham,true,true,9923.1,452-419-2180,75 Forster Terrace,2022-12-12,2022-12-18
SCFEBBCF0BG807982,Jens Klimentyonok,false,false,9752.7,921-355-4857,12596 Main Avenue,2023-08-11,2023-10-20
SCFEBBEL6DG709948,Tamarra Botfield,false,false,8078.2,960-823-8870,8827 Monument Avenue,2023-05-23,2023-01-31
WAU3VAFR9CA275758,Ossie Bellelli,true,false,7199.2,849-420-4975,0624 Clove Parkway,2023-08-19,2023-10-28
WAUAFAFL6AN331242,Lindsey Persse,true,false,6644.7,605-872-4827,082 Reinke Lane,2023-09-03,2023-02-09
WAUAH94F58N136538,Conchita Djordjevic,false,true,2436,929-903-2732,2848 Linden Terrace,2023-07-03,2023-05-24
WAUBGAFB1BN958280,Tito Maidment,true,false,5816.2,562-722-0611,6 Tomscot Way,2023-04-30,2023-01-15
WAUD2AFD3DN343709,Quill Dipple,false,false,8212.1,824-224-9600,128 Ryan Road,2023-10-27,2023-02-13
WAUDG98E25A142298,Bunnie Leftly,false,true,3395.7,325-486-7760,7 Birchwood Place,2023-04-16,2022-12-30
WAUDH94F06N676180,Sinclare Osler,false,true,3563.6,272-777-1276,493 Talisman Point,2023-11-05,2022-12-26
WAUGFBFCXEN068601,Dale Geary,true,false,5753.4,246-991-7626,2760 Mockingbird Lane,2023-05-24,2023-08-28
WAUJC68E83A557684,Lauritz Fewkes,true,false,6902.3,447-281-2430,2 Pond Point,2023-06-02,2022-12-21
WAUMFAFL0CA237350,Quintus Jendricke,true,true,5623.8,664-191-4689,542 Prairieview Alley,2023-09-23,2023-06-26
WAUMGBFL6CA489784,Eileen Worgen,false,true,7613.4,687-312-8774,0898 Bellgrove Terrace,2023-06-22,2023-08-07
WAUNF98P58A379476,Ryann Callcott,false,false,5871.7,417-286-2345,23 South Crossing,2023-02-02,2023-03-02
WAUPL68E24A910643,Trixi Curston,true,false,8381.6,457-637-2762,2232 Autumn Leaf Lane,2023-01-03,2022-12-20
WAUSF98K69A157229,Hewe Swadden,true,false,4595.4,581-383-9070,12412 Helena Way,2023-10-02,2022-12-31
WAUSF98K79A248767,Sigismond Goranov,true,true,9478.4,943-591-5222,80294 Hayes Circle,2023-08-22,2023-07-20
WAUSH98E77A264534,Verney Medhurst,false,true,7824.6,394-220-0743,529 Carey Crossing,2023-06-22,2023-07-06
WAUVFAFH2DN072511,Augustina Crump,true,false,9717.3,589-638-3270,6156 Pierstorff Center,2023-09-27,2023-08-22
WAUWFAFH8DN635713,Emmerich Dumbleton,false,true,3930,504-898-4173,14 Mayfield Terrace,2023-10-15,2023-11-13
WBA3X5C56FD651709,Xaviera Blackaller,false,true,3802.4,988-480-5714,724 Oak Crossing,2023-07-31,2023-04-21
WBABS33463P674374,Abagael Petti,false,false,9050,368-823-2829,4 School Circle,2023-10-07,2023-10-26
WBAEJ13412A207966,Theodora Twell,false,false,3948.8,517-638-8750,43725 Lillian Circle,2023-07-26,2022-12-22
WBAVC73548K924757,Northrop La Vigne,true,false,8044.1,824-777-4002,00 Troy Drive,2022-12-08,2023-08-15
WBAXA5C52FD907587,Nydia Rheam,true,false,1531.5,953-301-0802,5381 Cardinal Avenue,2023-05-14,2022-12-14
WBXPA93465W043487,Jolynn Bowick,true,false,8505.4,993-133-3341,58 Meadow Valley Park,2023-07-16,2023-09-13
WDDHF0EB7EB886296,Beitris Jobin,false,false,7879.8,851-896-8408,9370 Ilene Point,2023-06-02,2023-05-01
YV4960BZ7A1900971,Dorise Goldberg,false,false,8224.8,934-576-4833,66477 Nobel Junction,2023-05-03,2022-11-20
